Station-ID;Station-Name;Lat;Long;Startvorgänge;Endvorgänge
214444;Voltastraße / An der Dammheide;8.63036;50.117489;166;163
214445;Theodor-Heuss-Allee / Varrentrappstraße;8.645977;50.114201;288;299
214446;Westbahnhof;8.640114;50.11936;487;472
214447;Fritzlarerstraße / Kirchplatz;8.637424;50.125053;174;184
214448;Carlo-Schmidt-Platz  / Depot;8.651376;50.120339;821;810
214451;Messe Haupteingang / Friedrich-Ebert-Anlage;8.654201;50.112022;269;296
214452;Frankenallee / Schwalbacherstraße;8.635613;50.104173;309;304
214453;DB Zentrale / Stephensonstraße;8.640189;50.10684;607;589
214454;Pfarrer-Perabo-Platz / Kleyerstraße;8.634016;50.098848;882;882
214455;Adlerwerke Kleyerstrasse / Kriegkstrasse;8.639674;50.101275;561;558
214456;S-Bahn Station Galluswarte / Mainzer Landstraße;8.644738;50.103482;549;557
214458;Adam-Riese-Platz / Hafenstraße;8.65595;50.106388;213;227
214459;Mainzer Landstraße 191/ Speyerer Straße;8.650403;50.105284;358;356
214460;Westhafenplatz / Speicherstraße;8.663665;50.101704;636;624
223134;Skyline Plaza;8.652612;50.110371;192;172
226253;Woolworth Leipziger Strasse;8.643072;50.123496;252;246
226254;Bahnhof Rödelheim;8.607272;50.123911;167;155
226255;U-Bahn Station Leipziger Strasse;8.645651;50.122649;390;399
226256;Leonardo-da-Vinci-Allee / Am Römerhof;8.627623;50.113272;171;179
226257;Studentenwohnheim Ginnheimer Landstr. 42;8.645856;50.130133;450;453
226258;Goethe-Uni Bockenheim;8.651848;50.119773;373;355
226263;Studentenwohnheim Ludwig-Landmann-Str. 343;8.622259;50.128488;104;100
226265;Studentenwohnheim / Porthstraße;8.683525;50.143106;65;63
226266;Frankenallee / Bushaltestelle Haus Gallus;8.643461;50.104681;185;179
226270;Industriehof;8.629527;50.128567;162;178
226341;Studentenwohnheim Sandhöfer Allee 2;8.660119;50.092172;205;227
226345;Blue-Towers;8.623994;50.080425;42;43
226347;Niederräder Brücke / DB Autohaus;8.631414;50.087928;17;18
226348;OLG (Zeil / Oberlandesgericht);8.691069;50.114766;115;108
226640;Eurotheum / Neue Mainzer Straße;8.671355;50.113017;219;213
227370;Europagarten;8.629235;50.108518;321;337
227445;zzz4 vormals Sandhofschleife / Paul-Ehrlich-Straße;8.665303;50.093759;33;37
227446;S-Bahn Station Messe;8.643824;50.112512;53;52
227447;Ostbahnhof;8.707211;50.112591;214;215
227448;Stresemannallee / Mörfelder Landstraße;8.671809;50.089418;111;105
227451;Eschersheimer Landstraße / Holzhausenstraße;8.673526;50.126734;243;243
227452;Stresemannallee / S-Bahn-Station;8.671173;50.094135;231;255
227455;Braubachstraße / Domstraße;8.684394;50.111688;91;111
227456;Luisenstraße / Luisenplatz;8.696687;50.122446;138;140
227457;Martin-Luther-Straße / Burgstraße;8.697805;50.124297;135;140
227458;Friedberger Landstraße / Rohrbachstraße;8.692436;50.127562;110;114
227460;Markus-Krankenhaus;8.646073;50.136706;99;99
227461;Rohrbachstraße / Hartmann-Ibach-Straße;8.700865;50.129021;106;73
227462;Sophienstraße / Ginnheimer Straße;8.641289;50.127754;158;153
227464;Wittelsbacher Allee/ Habsburger Allee;8.705312;50.120042;121;112
227465;Weidenbornstraße / Comeniusstraße;8.705388;50.131301;25;30
227467;Saalburgallee / Wittelsbacherallee;8.713568;50.124757;38;31
227468;Saalburgallee / Kettelerallee;8.717334;50.123605;72;69
227469;Luxemburger Allee / Rhönstraße;8.712139;50.119304;19;24
227470;Habsburger Allee / Rhönstraße;8.708494;50.117527;207;216
227471;Gerbermühlstraße / Wehrstraße;8.721659;50.10527;68;81
227472;Berger Straße / Eulengasse;8.715317;50.132503;57;57
227473;Berger Straße / Falltorstraße;8.713783;50.129795;79;63
227474;Seckbacher Landstraße / Nußbaumstraße;8.712232;50.134939;44;38
227475;Arnsburger Straße / Mainkurstraße;8.707108;50.125483;318;301
227476;Kantstraße / Berger Straße;8.695968;50.120549;409;413
227478;Eschenheimer Tor / Taubenstraße;8.679264;50.116883;219;233
227479;Am Weißen Stein / Maybachstraße;8.654568;50.158143;33;34
227481;Eschersheimer Landstraße / Am Weißen Stein;8.657019;50.156612;41;40
227482;Eschersheimer Landstraße / Am Lindenbaum;8.661008;50.153212;25;19
227483;Eschersheimer Landstraße / Fritz-Tarnow-Straße;8.668985;50.14273;62;61
227484;Eschersheimer Landstraße / Grüneburgweg;8.675602;50.121755;207;201
227486;Gerbermühlstraße / Zum Schlegelhof;8.703269;50.104352;93;94
227487;Berger Straße / Höhenstraße;8.701228;50.122832;321;325
227494;HR / Bertramswiese 8;8.675122;50.136631;50;56
227495;DB Rent-Zentrale / Mainzer Landstr. 169;8.651935;50.106001;478;433
227503;Rödelheimer Landstraße / Breitenbachbrücke;8.632981;50.123089;49;49
227712;Darmstädter Lanstraße / Vergölst / Carglass;8.69076;50.094443;30;33
227726;Speyerer Straße / Koblenzer Straße;8.64862;50.107348;328;303
227811;Ruth-Mufang-Straße / Riedbergallee;8.627828;50.174679;32;19
227833;Campus Riedberg / Institut für Organische Chemie;8.631454;50.172899;2;2
227834;Altenhöferallee / Werkstattzentrale;8.63404;50.17415;23;19
227837;Max-von-Laue-Straße / Biologicum;8.628182;50.173016;50;39
227980;Universitätsklinikum / Theodor-Stern-Kai;8.660744;50.09653;383;376
229958;Gravensteiner Platz;8.698627;50.155353;26;29
231558;Gießener Straße / Ronneburgstraße;8.688624;50.1508;53;49
231563;Gutleutstraße / Untermainanlage;8.672788;50.10806;376;369
231564;Buchrainplatz;8.724602;50.10006;140;139
231575;Oeder Weg / Oberweg;8.681046;50.122416;375;365
231602;Im Prüfling / Throner Straße;8.707266;50.129399;37;35
231603;Deutsche Bibliothek;8.683324;50.131716;198;192
231638;U-Bahn Preungesheim;8.687943;50.158657;59;77
231648;Rosa-Luxemburg-Straße / Ginnheimer Landstraße;8.646967;50.14027;123;118
231653;Gartenstraße / Holbeinstraße;8.674717;50.101536;303;309
231731;Deutsche Bundesbank ;8.659581;50.13616;61;56
231798;Marbachweg / Eckenheimer Landstraße;8.683534;50.141988;55;51
232067;Gießener Straße / Marbachweg;8.692212;50.143874;38;43
232102;Friedberger Landstraße / Dortelweiler Straße ;8.698642;50.139124;35;40
232330;Universitätsklinikum / Kernbereich I;8.664178;50.096903;208;193
232331;Universitätsklinikum / Kernbereich II;8.660328;50.094201;50;53
232342;Universitätsklinikum Parkhaus / Sandhofstraße;8.655518;50.093042;117;108
232381;S-Bahn Station Mühlberg;8.700605;50.101738;109;88
232598;Mannheimer Straße / Stuttgarter Straße;8.661658;50.10452;158;153
240612;Hauptbahnhof / Taxistand;8.663593;50.107408;782;886
242520;Campus Westend IG Farben;8.665367;50.125673;450;391
242521;Campus Westend Hörsaalzentrum;8.665946;50.128516;979;960
242564;Gerbermühlstraße / Walther-von-Cronberg-Platz;8.695931;50.105003;271;261
